time ms, voltage v, encoder
10, 0.00, 0.00
20, 0.00, 0.00
30, 0.00, 0.00
40, 0.00, 0.00
50, 0.00, 0.00
60, 0.00, 0.00
70, 0.00, 0.00
80, 0.00, 0.00
90, 0.00, 0.00
100, 0.00, 0.00
110, 0.00, 0.00
120, 0.00, 0.00
130, 0.00, 0.00
140, 0.00, 0.00
150, 0.00, 0.00
160, 0.00, 0.00
171, 0.00, 0.00
181, 0.00, 0.00
191, 0.00, 0.00
201, 0.00, 0.00
211, 0.00, 0.00
221, 0.00, 0.00
231, 0.00, 0.00
241, 0.00, 0.00
251, 0.00, 0.00
261, 0.00, 0.00
271, 0.00, 0.00
281, 0.00, 0.00
291, 0.00, 0.00
301, 0.00, 0.00
311, 0.00, 0.00
321, 0.00, 0.00
331, 0.00, 0.00
342, 0.00, 0.00
352, 0.00, 0.00
362, 0.00, 0.00
372, 0.00, 0.00
382, 0.00, 0.00
392, 0.00, 0.00
402, 0.00, 0.00
412, 0.00, 0.00
422, 0.00, 0.00
432, 0.00, 0.00
442, 0.00, 0.00
452, 0.00, 0.00
462, 0.00, 0.00
472, 0.00, 0.00
482, 0.00, 0.00
492, 0.00, 0.00
502, 7.00, 0.00
512, 7.00, 2.00
522, 7.00, 10.00
532, 7.00, 20.00
542, 7.00, 34.00
552, 7.00, 48.00
562, 7.00, 63.00
572, 7.00, 80.00
582, 7.00, 96.00
592, 7.00, 114.00
602, 7.00, 130.00
612, 7.00, 148.00
622, 7.00, 166.00
632, 7.00, 184.00
642, 7.00, 201.00
652, 7.00, 220.00
662, 7.00, 238.00
672, 7.00, 256.00
683, 7.00, 274.00
693, 7.00, 292.00
703, 7.00, 312.00
713, 7.00, 330.00
723, 7.00, 348.00
733, 7.00, 364.00
743, 7.00, 383.00
753, 7.00, 402.00
763, 7.00, 420.00
773, 7.00, 436.00
783, 7.00, 454.00
793, 7.00, 473.00
803, 7.00, 492.00
813, 7.00, 508.00
823, 7.00, 526.00
833, 7.00, 544.00
843, 7.00, 562.00
854, 7.00, 581.00
864, 7.00, 600.00
874, 7.00, 618.00
884, 7.00, 636.00
894, 7.00, 654.00
904, 7.00, 671.00
914, 7.00, 690.00
924, 7.00, 708.00
934, 7.00, 726.00
944, 7.00, 744.00
954, 7.00, 762.00
964, 7.00, 780.00
974, 7.00, 799.00
984, 7.00, 816.00
994, 7.00, 834.00
1004, 7.00, 854.00
1014, 7.00, 872.00
1024, 7.00, 888.00
1034, 7.00, 908.00
1044, 7.00, 926.00
1054, 7.00, 945.00
1064, 7.00, 964.00
1074, 7.00, 980.00
1084, 7.00, 1000.00
1094, 7.00, 1018.00
1104, 7.00, 1037.00
1114, 7.00, 1054.00
1124, 7.00, 1072.00
1134, 7.00, 1092.00
1144, 7.00, 1110.00
1154, 7.00, 1126.00
1164, 7.00, 1146.00
1174, 7.00, 1164.00
1184, 7.00, 1182.00
1195, 7.00, 1202.00
1205, 7.00, 1220.00
1215, 7.00, 1238.00
1225, 7.00, 1258.00
1235, 7.00, 1276.00
1245, 7.00, 1292.00
1255, 7.00, 1312.00
1265, 7.00, 1330.00
1275, 7.00, 1348.00
1285, 7.00, 1364.00
1295, 7.00, 1384.00
1305, 7.00, 1402.00
1315, 7.00, 1420.00
1325, 7.00, 1437.00
1335, 7.00, 1456.00
1345, 7.00, 1474.00
1355, 7.00, 1492.00
1366, 7.00, 1512.00
1376, 7.00, 1530.00
1386, 7.00, 1548.00
1396, 7.00, 1568.00
1406, 7.00, 1586.00
1416, 7.00, 1602.00
1426, 7.00, 1622.00
1436, 7.00, 1640.00
1446, 7.00, 1659.00
1456, 7.00, 1676.00
1466, 7.00, 1694.00
1476, 7.00, 1714.00
1486, 7.00, 1732.00
1496, 7.00, 1749.00
1506, 7.00, 1768.00
1516, 7.00, 1786.00
1526, 7.00, 1805.00
1536, 7.00, 1822.00
1546, 7.00, 1840.00
1556, 7.00, 1859.00
1566, 7.00, 1878.00
1576, 7.00, 1896.00
1586, 7.00, 1913.00
1596, 7.00, 1932.00
1606, 7.00, 1950.00
1616, 7.00, 1968.00
1626, 7.00, 1986.00
1636, 7.00, 2004.00
1646, 7.00, 2022.00
1656, 7.00, 2040.00
1666, 7.00, 2058.00
1676, 7.00, 2076.00
1686, 7.00, 2094.00
1696, 7.00, 2113.00
1707, 7.00, 2132.00
1717, 7.00, 2150.00
1727, 7.00, 2168.00
1737, 7.00, 2187.00
1747, 7.00, 2206.00
1757, 7.00, 2222.00
1767, 7.00, 2241.00
1777, 7.00, 2260.00
1787, 7.00, 2278.00
1797, 7.00, 2295.00
1807, 7.00, 2314.00
1817, 7.00, 2332.00
1827, 7.00, 2351.00
1837, 7.00, 2368.00
1847, 7.00, 2386.00
1857, 7.00, 2404.00
1867, 7.00, 2424.00
1878, 7.00, 2442.00
1888, 7.00, 2460.00
1898, 7.00, 2480.00
1908, 7.00, 2498.00
1918, 7.00, 2516.00
1928, 7.00, 2534.00
1938, 7.00, 2552.00
1948, 7.00, 2570.00
1958, 7.00, 2589.00
1968, 7.00, 2606.00
1978, 7.00, 2624.00
1988, 7.00, 2642.00
1998, 7.00, 2662.00
2008, 7.00, 2678.00
2018, 7.00, 2696.00
2028, 7.00, 2714.00
2038, 7.00, 2734.00
2048, 7.00, 2750.00
2058, 7.00, 2768.00
2068, 7.00, 2786.00
2078, 7.00, 2805.00
2088, 7.00, 2824.00
2098, 7.00, 2840.00
2108, 7.00, 2858.00
2118, 7.00, 2876.00
2128, 7.00, 2895.00
2138, 7.00, 2912.00
2148, 7.00, 2930.00
2158, 7.00, 2948.00
2168, 7.00, 2967.00
2178, 7.00, 2984.00
2188, 7.00, 3002.00
2198, 7.00, 3020.00
2208, 7.00, 3040.00
2219, 7.00, 3058.00
2229, 7.00, 3076.00
2239, 7.00, 3096.00
2249, 7.00, 3114.00
2259, 7.00, 3132.00
2269, 7.00, 3149.00
2279, 7.00, 3168.00
2289, 7.00, 3186.00
2299, 7.00, 3205.00
2309, 7.00, 3222.00
2319, 7.00, 3240.00
2329, 7.00, 3258.00
2339, 7.00, 3278.00
2349, 7.00, 3294.00
2359, 7.00, 3312.00
2369, 7.00, 3331.00
2379, 7.00, 3350.00
2390, 7.00, 3368.00
2400, 7.00, 3386.00
2410, 7.00, 3404.00
2420, 7.00, 3422.00
2430, 7.00, 3442.00
2440, 7.00, 3458.00
2450, 7.00, 3476.00
2460, 7.00, 3494.00
2470, 7.00, 3512.00
2480, 7.00, 3529.00
2490, 7.00, 3548.00
2500, 7.00, 3566.00
2510, 7.00, 3584.00
2520, 7.00, 3600.00
2530, 7.00, 3618.00
2540, 7.00, 3636.00
2550, 7.00, 3655.00
2560, 7.00, 3672.00
2570, 7.00, 3690.00
2580, 7.00, 3708.00
2590, 7.00, 3726.00
2600, 7.00, 3744.00
2610, 7.00, 3762.00
2620, 7.00, 3780.00
2630, 7.00, 3798.00
2640, 7.00, 3816.00
2650, 7.00, 3834.00
2660, 7.00, 3852.00
2670, 7.00, 3870.00
2680, 7.00, 3888.00
2690, 7.00, 3905.00
2700, 7.00, 3924.00
2710, 7.00, 3942.00
2720, 7.00, 3960.00
2731, 7.00, 3979.00
2741, 7.00, 3998.00
2751, 7.00, 4016.00
2761, 7.00, 4034.00
2771, 7.00, 4052.00
2781, 7.00, 4070.00
2791, 7.00, 4088.00
2801, 7.00, 4106.00
2811, 7.00, 4124.00
2821, 7.00, 4140.00
2831, 7.00, 4159.00
2841, 7.00, 4178.00
2851, 7.00, 4196.00
2861, 7.00, 4212.00
2871, 7.00, 4230.00
2881, 7.00, 4248.00
2891, 7.00, 4266.00
2902, 7.00, 4284.00
2912, 7.00, 4303.00
2922, 7.00, 4322.00
2932, 7.00, 4340.00
2942, 7.00, 4358.00
2952, 7.00, 4374.00
2962, 7.00, 4392.00
2972, 7.00, 4410.00
2982, 7.00, 4428.00
2992, 7.00, 4446.00
3002, 7.00, 4464.00
3012, 7.00, 4482.00
3022, 7.00, 4500.00
3032, 7.00, 4516.00
3042, 7.00, 4534.00
3052, 7.00, 4553.00
3062, 7.00, 4572.00
3072, 7.00, 4588.00
3082, 7.00, 4606.00
3092, 7.00, 4624.00
3102, 7.00, 4643.00
3112, 7.00, 4662.00
3122, 7.00, 4678.00
3132, 7.00, 4696.00
3142, 7.00, 4714.00
3152, 7.00, 4734.00
3162, 7.00, 4750.00
3172, 7.00, 4768.00
3182, 7.00, 4786.00
3192, 7.00, 4804.00
3202, 7.00, 4822.00
3212, 7.00, 4840.00
3222, 7.00, 4858.00
3232, 7.00, 4876.00
3243, 7.00, 4894.00
3253, 7.00, 4912.00
3263, 7.00, 4931.00
3273, 7.00, 4950.00
3283, 7.00, 4968.00
3293, 7.00, 4984.00
3303, 7.00, 5002.00
3313, 7.00, 5020.00
3323, 7.00, 5038.00
3333, 7.00, 5055.00
3343, 7.00, 5074.00
3353, 7.00, 5092.00
3363, 7.00, 5110.00
3373, 7.00, 5126.00
3383, 7.00, 5144.00
3393, 7.00, 5162.00
3403, 7.00, 5180.00
3414, 7.00, 5198.00
3424, 7.00, 5218.00
3434, 7.00, 5236.00
3444, 7.00, 5254.00
3454, 7.00, 5272.00
3464, 7.00, 5288.00
3474, 7.00, 5308.00
3484, 7.00, 5326.00
3494, 7.00, 5344.00
3504, 7.00, 5360.00
3514, 7.00, 5380.00
3524, 7.00, 5398.00
3534, 7.00, 5416.00
3544, 7.00, 5432.00
3554, 7.00, 5452.00
3564, 7.00, 5470.00
3574, 7.00, 5488.00
3584, 7.00, 5505.00
3594, 7.00, 5524.00
3604, 7.00, 5542.00
3614, 7.00, 5560.00
3624, 7.00, 5578.00
3634, 7.00, 5596.00
3644, 7.00, 5614.00
3654, 7.00, 5632.00
3664, 7.00, 5650.00
3674, 7.00, 5667.00
3684, 7.00, 5686.00
3694, 7.00, 5704.00
3704, 7.00, 5722.00
3714, 7.00, 5738.00
3724, 7.00, 5756.00
3734, 7.00, 5775.00
3744, 7.00, 5794.00
3755, 7.00, 5812.00
3765, 7.00, 5830.00
3775, 7.00, 5848.00
3785, 7.00, 5866.00
3795, 7.00, 5885.00
3805, 7.00, 5902.00
3815, 7.00, 5920.00
3825, 7.00, 5938.00
3835, 7.00, 5956.00
3845, 7.00, 5974.00
3855, 7.00, 5992.00
3865, 7.00, 6010.00
3875, 7.00, 6029.00
3885, 7.00, 6046.00
3895, 7.00, 6064.00
3905, 7.00, 6083.00
3915, 7.00, 6102.00
3926, 7.00, 6120.00
3936, 7.00, 6138.00
3946, 7.00, 6158.00
3956, 7.00, 6176.00
3966, 7.00, 6194.00
3976, 7.00, 6212.00
3986, 7.00, 6230.00
3996, 7.00, 6250.00
4006, 7.00, 6268.00
4016, 7.00, 6284.00
4026, 7.00, 6304.00
4036, 7.00, 6322.00
4046, 7.00, 6340.00
4056, 7.00, 6358.00
4066, 7.00, 6376.00
4076, 7.00, 6394.00
4086, 7.00, 6414.00
4096, 7.00, 6430.00
4106, 7.00, 6448.00
4116, 7.00, 6468.00
4126, 7.00, 6486.00
4136, 7.00, 6504.00
4146, 7.00, 6520.00
4156, 7.00, 6540.00
4166, 7.00, 6558.00
4176, 7.00, 6576.00
4186, 7.00, 6593.00
4196, 7.00, 6612.00
4206, 7.00, 6630.00
4216, 7.00, 6648.00
4226, 7.00, 6664.00
4236, 7.00, 6684.00
4246, 7.00, 6702.00
4256, 7.00, 6720.00
4267, 7.00, 6738.00
4277, 7.00, 6758.00
4287, 7.00, 6776.00
4297, 7.00, 6794.00
4307, 7.00, 6814.00
4317, 7.00, 6830.00
4327, 7.00, 6848.00
4337, 7.00, 6868.00
4347, 7.00, 6886.00
4357, 7.00, 6902.00
4367, 7.00, 6922.00
4377, 7.00, 6940.00
4387, 7.00, 6958.00
4397, 7.00, 6976.00
4407, 7.00, 6994.00
4417, 7.00, 7012.00
4427, 7.00, 7032.00
4438, 7.00, 7050.00
4448, 7.00, 7068.00
4458, 7.00, 7088.00
4468, 7.00, 7106.00
4478, 7.00, 7124.00
4488, 7.00, 7140.00
4498, 7.00, 7160.00
4508, 0.00, 7178.00
4518, 0.00, 7192.00
4528, 0.00, 7202.00
4538, 0.00, 7207.00
4548, 0.00, 7210.00
4558, 0.00, 7212.00
4568, 0.00, 7212.00
4578, 0.00, 7212.00
4588, 0.00, 7212.00
4598, 0.00, 7212.00
4608, 0.00, 7212.00
4618, 0.00, 7212.00
4628, 0.00, 7212.00
4638, 0.00, 7212.00
4648, 0.00, 7212.00
4658, 0.00, 7212.00
4668, 0.00, 7212.00
4678, 0.00, 7212.00
4688, 0.00, 7212.00
4698, 0.00, 7212.00
4708, 0.00, 7212.00
4718, 0.00, 7212.00
4728, 0.00, 7212.00
4738, 0.00, 7212.00
4748, 0.00, 7212.00
4758, 0.00, 7212.00
4768, 0.00, 7212.00
4779, 0.00, 7212.00
4789, 0.00, 7212.00
4799, 0.00, 7212.00
4809, 0.00, 7212.00
4819, 0.00, 7212.00
4829, 0.00, 7212.00
4839, 0.00, 7212.00
4849, 0.00, 7212.00
4859, 0.00, 7212.00
4869, 0.00, 7212.00
4879, 0.00, 7212.00
4889, 0.00, 7212.00
4899, 0.00, 7212.00
4909, 0.00, 7212.00
4919, 0.00, 7212.00
4929, 0.00, 7212.00
4939, 0.00, 7212.00
4950, 0.00, 7212.00
4960, 0.00, 7212.00
4970, 0.00, 7212.00
4980, 0.00, 7212.00
4990, 0.00, 7212.00
5000, 0.00, 7212.00
5010, 0.00, 7212.00
5020, 0.00, 7212.00
5030, 0.00, 7212.00
5040, 0.00, 7212.00
5050, 0.00, 7212.00
5060, 0.00, 7212.00
5070, 0.00, 7212.00
5080, 0.00, 7212.00
5090, 0.00, 7212.00
5100, 0.00, 7212.00
5110, 0.00, 7212.00
5120, 0.00, 7212.00
5130, 0.00, 7212.00
5140, 0.00, 7212.00
5150, 0.00, 7212.00
5160, 0.00, 7212.00
5170, 0.00, 7212.00
5180, 0.00, 7212.00
5190, 0.00, 7212.00
5200, 0.00, 7212.00
5210, 0.00, 7212.00
5220, 0.00, 7212.00
5230, 0.00, 7212.00
5240, 0.00, 7212.00
5250, 0.00, 7212.00
5260, 0.00, 7212.00
5270, 0.00, 7212.00
5280, 0.00, 7212.00
5291, 0.00, 7212.00
5301, 0.00, 7212.00
5311, 0.00, 7212.00
5321, 0.00, 7212.00
5331, 0.00, 7212.00
5341, 0.00, 7212.00
5351, 0.00, 7212.00
5361, 0.00, 7212.00
5371, 0.00, 7212.00
5381, 0.00, 7212.00
5391, 0.00, 7212.00
5401, 0.00, 7212.00
5411, 0.00, 7212.00
5421, 0.00, 7212.00
5431, 0.00, 7212.00
5441, 0.00, 7212.00
5451, 0.00, 7212.00
5462, 0.00, 7212.00
5472, 0.00, 7212.00
5482, 0.00, 7212.00
5492, 0.00, 7212.00
5502, -7.00, 7212.00
5512, -7.00, 7210.00
5522, -7.00, 7201.00
5532, -7.00, 7188.00
5542, -7.00, 7174.00
5552, -7.00, 7161.00
5562, -7.00, 7145.00
5572, -7.00, 7128.00
